number,primary,scatter1,scatter2,scatter3,scatter4,scatter5
94,1.000000,13654.000000,9321.000000,3856.000000,1242.000000,276.000000
95,1.000000,12989.000000,8642.000000,3619.000000,1031.000000,251.000000
96,1.000000,12617.000000,8186.000000,3394.000000,1039.000000,188.000000
97,1.000000,12206.000000,8035.000000,3174.000000,909.000000,205.000000
98,1.000000,11763.000000,7644.000000,3099.000000,874.000000,168.000000
99,1.000000,11453.000000,7380.000000,3013.000000,815.000000,162.000000
100,1.000000,11077.000000,6982.000000,2704.000000,754.000000,172.000000
101,1.000000,10769.000000,6857.000000,2672.000000,708.000000,122.000000
102,1.000000,10591.000000,6691.000000,2446.000000,668.000000,114.000000
103,1.000000,10393.000000,6622.000000,2461.000000,638.000000,100.000000
104,1.000000,10109.000000,6423.000000,2288.000000,565.000000,97.000000
105,1.000000,9944.000000,6323.000000,2160.000000,514.000000,92.000000
106,1.000000,9960.000000,6105.000000,2079.000000,485.000000,71.000000
107,1.000000,9856.000000,5807.000000,1989.000000,426.000000,69.000000
108,1.000000,9756.000000,5914.000000,1891.000000,400.000000,57.000000
109,1.000000,9895.000000,5804.000000,1736.000000,360.000000,44.000000
110,1.000000,9785.000000,5617.000000,1710.000000,327.000000,51.000000
111,1.000000,9828.000000,5602.000000,1713.000000,297.000000,58.000000
112,1.000000,9947.000000,5420.000000,1550.000000,250.000000,53.000000
113,1.000000,10267.000000,5386.000000,1405.000000,273.000000,29.000000
114,1.000000,10297.000000,5297.000000,1416.000000,232.000000,33.000000
115,1.000000,10621.000000,5287.000000,1317.000000,215.000000,27.000000
116,1.000000,10789.000000,5129.000000,1257.000000,212.000000,19.000000
117,1.000000,10910.000000,5226.000000,1180.000000,183.000000,19.000000
118,1.000000,11597.000000,5044.000000,1128.000000,155.000000,14.000000
119,1.000000,11785.000000,4940.000000,1032.000000,123.000000,19.000000
120,1.000000,11977.000000,4851.000000,921.000000,130.000000,13.000000
121,1.000000,12256.000000,4841.000000,931.000000,136.000000,7.000000
122,1.000000,12788.000000,4703.000000,841.000000,87.000000,9.000000
